strategy,round,loss,rmse,mae,r2
fedavg,0,1.4340404903996313,11782.010694274555,9149.193359375,0.00890437044283554
fedavg,1,0.1871217506430453,6711.48627354627,3572.588134765625,0.6784014077946592
fedavg,2,0.09125624753258293,4968.383439309007,2225.870849609375,0.8237590104935776
fedavg,3,0.0701001208226982,4757.693769043989,1852.602294921875,0.8383894544226655
fedavg,4,0.051605848498350995,4279.311860568238,1557.35888671875,0.8692551540410446
fedavg,5,0.04312067688699651,4048.2482631380203,1503.35302734375,0.8829932308809991
fedavg,6,0.04513219054956494,4356.682682959593,1393.7020263671875,0.8644846287473669
fedavg,7,0.041545722116095016,4208.115017439519,1332.203857421875,0.8735694789160493
fedavg,8,0.03704245764586548,4084.3584563551717,1363.16259765625,0.8808965290049956
fedavg,9,0.03582115275383653,4038.8004407249437,1351.539794921875,0.8835387325389605
fedavg,10,0.03525044400629811,4033.601244545623,1346.782470703125,0.8838383881344831
fedavg,11,0.03464819311744411,4023.649835659162,1328.928955078125,0.8844108458899665
fedavg,12,0.03343769851343383,4005.242814112523,1315.90087890625,0.8854660055158218
fedavg,13,0.0315978070300674,4025.9196464907245,1383.627685546875,0.8842803992036717
fedavg,14,0.03143444062288152,4047.3025584949787,1393.101318359375,0.8830478910417525
fedavg,15,0.03141415887769151,3953.457600632641,1293.531982421875,0.8884085612800386
fedavg,16,0.03152263165174151,3972.187684387534,1307.947509765625,0.8873486938700132
fedavg,17,0.031012958334151696,3950.7124673911667,1313.400146484375,0.8885634708448247
fedavg,18,0.033971514338917035,3996.271136947542,1247.110107421875,0.8859785380185984
fedavg,19,0.030182088016268004,3938.4739430393597,1369.3890380859375,0.8892528239078703
fedavg,20,0.030917904279012618,3935.94092943479,1314.3223876953125,0.8893952307125162
fedavg,21,0.03074391985661467,3923.8897792878943,1339.132568359375,0.8900714943756498
fedavg,22,0.030331174645912923,3907.940634144792,1296.75244140625,0.8909633188229942
fedavg,23,0.030532742565574353,3923.367176291304,1314.5025634765625,0.8901007750332683
fedavg,24,0.030506315232892572,3932.746877183936,1299.1722412109375,0.8895746691527678
fedavg,25,0.03270336190087267,3942.061516516453,1194.31982421875,0.8890509684953324
fedavg,26,0.030715627272575048,3909.654844100691,1296.1031494140625,0.8908676378761857
fedavg,27,0.03065209062872763,4072.2766359863126,1457.1937255859375,0.8816001227485059
fedavg,28,0.031511608313174996,3928.224789901922,1187.247802734375,0.8898284715171139
fedavg,29,0.029950630714707712,3874.702956356784,1315.9339599609375,0.8928101781531125
